source_url,total_options,total_value,categories_found,detection_timestamp
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.433894
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.434209
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.434456
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.434770
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.435035
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.435327
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.435570
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.435798
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.436011
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,7,9500,"performance, technology, convenience",2025-08-25T23:00:19.436217
