source_url,raw_text,extraction_timestamp,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,exterior_color_confidence,interior_color,interior_color_confidence,source,source_confidence,extraction_method,data_quality_score
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2014 Porsche Cayman S S 2014 Cayman Price not shown ,2025-08-26T10:19:05.698747,2014,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2007 Porsche Cayman 2D Coupe S 2007 Cayman Price not shown ,2025-08-26T10:19:05.699619,2007,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2008 Porsche Cayman S 2008 Cayman Price not shown ,2025-08-26T10:19:05.699870,2008,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman 2016 Cayman Price not shown ,2025-08-26T10:19:05.700176,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2010 Porsche Cayman Coupe 2D 2010 Cayman Price not shown ,2025-08-26T10:19:05.700479,2010,1.0,Unknown,0.0,Unknown,0.0,Cayman Base,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman GT4 2016 Cayman Price not shown ,2025-08-26T10:19:05.700617,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman GT4,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2014 Porsche Cayman 2014 Cayman Price not shown ,2025-08-26T10:19:05.700736,2014,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2006 Porsche Cayman S 2006 Cayman Price not shown ,2025-08-26T10:19:05.700847,2006,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2015 Porsche Cayman S 2015 Cayman Price not shown ,2025-08-26T10:19:05.700956,2015,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2015 Porsche Cayman GTS 2015 Cayman Price not shown ,2025-08-26T10:19:05.701064,2015,1.0,Unknown,0.0,Unknown,0.0,Cayman GTS,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855
